name,organisation,country
Héctor Armando Hernández Samayoa, CONAP Consejo Nacional de Areas Protegida, Guatemala
Reuben Roberts, National Biodiversity Network, United Kingdom
Kourouma Koura, GBIF Benin, Benin
Rui Figueira, GBIF Portugal, Portugal
Fabien Caviere, GBIF France, France
Jason Loomi, Vermont Center for Ecostudies, United States of America
Manuel Fernando Vargas, Instituto Nacional de Biodiversidad (INBio), Costa Rica
Maxim Shashkov, Institute of Mathematical Problems of Biology (RAS), Russia
Brandito M. Quijano Jr., Philippines Atlas of Biodiversity (PhAB), Philippines
Cristina Villaverde, GBIF Spain / Royal Botanic Garden / CSIC, Spain
Christian Gendreau, Agriculture and Agri-Food Canada, Canada
Pete Herbst, The Field Museum, United States of America
Marie-Elise Lecoq, VertNet, United States of America
David Martin, CSIRO (Atlas of Living Australia), United Kingdom
Bruno Silva, Rede Nacional de Ensino e Pesquisa (RNP / SiBBr), Brazil
Dag Endresen, GBIF-Norway (Natural History Museum in Oslo - University of Oslo), Norway
Abner Galvez, Ministerio del Medio Ambiente, Chile
Manash Shah, Swedish Museum of Natural History (GBIF Sweden), Sweden
Chihjen Ko, Biodiversity Research Center (Academia Sinica), Taiwan
Tanja Lumetsberger, Biodiversity-Hub (Danube University Krems), Austria
Xiaoqian Zhao, Institute of Botany (Chinese Academy of Sciences), China
Pierre Radji, GBIF Togo (Laboratory of Forestry Research (LRF) - Faculty of Science/University of Lomé), Togo
Nicholas dos Remedio, Atlas of Living Australia / CSIRO, Australia
Jaime Nahuel Ramírez Lorca, Mincyt, Argentina
Dimitri Outboter, NZCS, Netherlands
Matthew Blissett, GBIF, Denmark
Markus Skyttner, Swedish Museum of Natural History, Sweden
Mathieu Blanchet, Lund University, Sweden
Wahida Lassoued, Agence française pour la biodiversité, France
