name,organisation,country
Abner Andrés Galvez Contreras,GBIF Chile (Ministerio del Medio Ambiente de Chile), Chile
Allan Zirk,GBIF Estonia,Estonia
Brandito M. Quijano Jr.,University of the Philippines,Philippines
Chihjen Ko,Taiwan Biodiversity Information Facility,Taiwan
David Martin,Atlas of Living Australia,Australia
Dimitri Alexander Ouboter,National Zoological Collection of Suriname (Anton de Kom University of Suriname),Suriname
Fabien Cavière,GBIF France,France
Jaime Nahuel Ramírez Lorca,GBIF Argentina,Argentina
Jérémy Goimard,Canadensys,Canada
Jörg Holetschek,GBIF Germany,Germany
Kourouma Koura,GBIF Benin,Benin
Manash Shah,GBIF Sweden,Sweden
Manuel Vargas,Instituto Nacional de Biodiversidad,Costa Rica
Marie-Elise Lecoq,GBIF France,France
Matthew Blissett,GBIF Secretariat,Danmark
Maxim Shashkov,Institute of Mathematical Problems of Biology,Russia
Nick dos Remedios,Atlas of Living Australia,Australia
Reuben Roberts,National Biodiversity Network (NBN),United Kingdom
Riza Batista-Navarro,University of Manchester / Philippines, Philippines
Rui Figueira,GBIF Portugal,Portugal
Santiago Martínez de la Riva,GBIF Spain,Spain
Sharon Grant,The Field Museum of Natural History, United-State
Sophie Radcliff,National Biodiversity Network (NBN),United Kingdom
Xiaoqian Zhao,National Specimen Information Infrastructure of China (NSII),China 
