name,organisation,country
Christian Gendreau, Canadensys, Canada
David Martin, CSIRO (Atlas of Living Australia), United Kingdom
Manash Shah, Swedish Museum of Natural History (GBIF Sweden), Sweden
Rui Figueira, GBIF Portugal, Portugal
Tim Robertson, GBIF Secretariat, Danmark
Santiago Martínez de la Riva Vivanco, GBIF Spain, Spain
