name,organisation,country
Santiago Martínez de la Riva Vivanco, GBIF Spain, Spain
David Martin, CSIRO (Atlas of Living Australia), United Kingdom
Rui Figueira, GBIF Portugal, Portugal
Marie-Elise Lecoq, GBIF France, France
Fabien Cavière, GBIF France, France
Paco Pando, GBIF Spain, France
Miguel Carboni, GBIF Argentina, Argentina
Luis Eugênio Barbosa, GBIF Brazil, Brazil
