organisation,role
GBIF Canadensys, Leader
GBIF Spain, Co-coordinator & co-founder
VertNet, Co-coordinator & co-founder
Canadian Museum of Nature, Co-coordinator & co-founder
iDigBio, Co-coordinator & co-founder
CBIF, Partner
Acadia University, Partner
