organisation,role
GBIF Brazil, Leader
VertNet, Partner
GBIF Ecuador, Partner 
GBIF Costa Rica, Partner 
GBIF Peru, Partner 
GBIF Argentina, Partner 
GBIF Chile, Partner 
GBIF Colombia, Partner 
GBIF Mexico, Partner 

